Rank,Release Group,Worldwide,Domestic,%,Foreign,%
167,Matching,"$5,348,492",-,-,"$5,348,492",100%
168,Odio el verano,"$5,334,983",-,-,"$5,334,983",100%
169,Kyu Ju Sai. Nani ga Medetai,"$5,285,231",-,-,"$5,285,231",100%
170,Ma Da: The Drowning Spirit,"$5,235,111",-,-,"$5,235,111",100%
171,Frères,"$5,144,441",-,-,"$5,144,441",100%
172,Betting with Ghost,"$5,143,773",-,-,"$5,143,773",100%
173,The Goat Life,"$5,138,042","$625,000",12.2%,"$4,513,042",87.8%
174,Dìdi,"$5,099,040","$4,839,360",94.9%,"$259,680",5.1%
175,Overlord: The Sacred Kingdom,"$5,036,360",-,-,"$5,036,360",100%
176,Table for Six 2,"$4,871,447",-,-,"$4,871,447",100%
177,Land of Happiness,"$4,780,005",-,-,"$4,780,005",100%
178,GHOST: Rite Here Rite Now,"$4,772,954","$2,647,702",55.5%,"$2,125,252",44.5%
179,Moonzy. Homecoming,"$4,602,655",-,-,"$4,602,655",100%
180,In a Violent Nature,"$4,556,928","$4,229,999",92.8%,"$326,929",7.2%
181,18×2 Beyond Youthful Days,"$4,512,194",-,-,"$4,512,194",100%
182,How to Make Millions Before Grandma Dies,"$4,497,990","$294,886",6.6%,"$4,203,104",93.4%
183,No Way Up,"$4,465,228","$148,582",3.3%,"$4,316,646",96.7%
184,Zápisník alkoholicky,"$4,461,493",-,-,"$4,461,493",100%
185,Anweshippin Kandethum,"$4,459,155",-,-,"$4,459,155",100%
186,Our Folks: The Beginning,"$4,433,525",-,-,"$4,433,525",100%
187,El Roomie,"$4,418,253",-,-,"$4,418,253",100%
188,Ezra,"$4,411,578","$2,631,460",59.6%,"$1,780,118",40.4%
189,Maria Montessori,"$4,381,955",-,-,"$4,381,955",100%
190,La familia Benetón,"$4,355,202",-,-,"$4,355,202",100%
191,Wonderland,"$4,270,030",-,-,"$4,270,030",100%
192,Noah's Ark,"$4,252,219",-,-,"$4,252,219",100%
193,Seventeen Tour 'Follow' Again to Cinemas,"$4,235,940",-,-,"$4,235,940",100%
194,Kneecap,"$4,233,181","$1,142,231",27%,"$3,090,950",73%
195,My Penguin Friend,"$4,204,199","$2,746,906",65.3%,"$1,457,293",34.7%
196,Meet the Leroys,"$4,184,877",-,-,"$4,184,877",100%
197,I soliti idioti 3: Il ritorno,"$4,174,340",-,-,"$4,174,340",100%
198,Two to One,"$4,162,191",-,-,"$4,162,191",100%
199,The Lord of the Rings: The Fellowship of the Ring 2024 Re-release,"$4,078,344","$3,256,658",79.9%,"$821,686",20.1%
200,Crew,"$4,015,089","$1,500,000",37.4%,"$2,515,089",62.6%
